name,nutrient,for_display,boolean_expression,notes
alkaline_phosphatase,P,TRUE,K01077 OR K01113,
acid_phosphatase,P,TRUE,K01093 OR K09474,
CP_lyase,P,TRUE,K06163 AND K06164 AND K06165 AND K06166,subunits of a complex studied in E. coli
terminal_oxidase_O2,O,TRUE,K02274 OR K00404 OR K00425,
heme_oxygenase,O,FALSE,K07226 OR K07215 OR K21480 OR K21481 OR K07145,
O2_utilizing_enzymes,O,TRUE,heme_oxygenase OR K03919 OR K00491 OR K00451 OR K08967,
N_uptake,N,TRUE,K00372,
nitrate_reductrion,N,FALSE,K00370 OR K02567,
nitrite_reduction,N,FALSE,K00366 OR K15864 OR K00368,
denitrification,N,TRUE,nitrate_reduction OR nitrite_reduction,
nitrification,N,TRUE,K10944 OR K10535,
lactate_dehydrogenase,C,FALSE,K00016 OR K03778,
ackA_pta,C,FALSE,K00925 AND (K00625 OR K13788),
pyruvate_formate_lyase,C,FALSE,K00656,
formate_hydrogen_lyase,C,FALSE,K00123,
fermentation,C,TRUE,lactate_dehydrogenase OR ackA_pta OR pyruvate_formate_lyase OR formate_hydrogen_lyase,
